"gene","cor","R2","p.value","fdr","cor.spear","p.value.spear","fdr.spear","n"
"11",0.83915692945977,0.704,0.00123905348871598,0.0211211088074422,0.909090909090909,5.55408265736478e-05,0.00333244959441887,11
"10A",0.829954463969586,0.689,0.00156937415996131,0.0211211088074422,0.845454545454546,0.00207768789039524,0.0415537578079047,11
"1.6",-0.828190830366624,0.686,0.00163953452383851,0.0211211088074422,-0.690909090909091,0.0230588742090161,0.138353245254096,11
"5.3",-0.809289076738264,0.655,0.00254742817919264,0.0211211088074422,-0.663636363636364,0.0308508738328496,0.144964974803978,11
"6.3",-0.806828524053353,0.651,0.00268848884768695,0.0211211088074422,-0.709090909090909,0.0187283868010195,0.138353245254096,11
"1.5",-0.79538971480747,0.633,0.00342184174248155,0.0211211088074422,-0.781818181818182,0.00701211291358369,0.0841453549630043,11
"5.7",-0.791279763220347,0.626,0.00371842931269325,0.0211211088074422,-0.572727272727273,0.0706011110697353,0.184176811486266,11
"6",-0.789804407333665,0.624,0.00382940013721168,0.0211211088074422,-0.581818181818182,0.0655332271928347,0.178726983253186,11
"5.5-5.7",-0.786119242948231,0.618,0.00411728218110878,0.0211211088074422,-0.609090909090909,0.0518776080763113,0.155632824228934,11
"1.7",-0.785174940864578,0.616,0.00419355549538828,0.0211211088074422,-0.590909090909091,0.0607282533857394,0.173509295387827,11
"5.5",-0.779310335318052,0.607,0.00469086525584161,0.0211211088074422,-0.636363636363636,0.0403864039827663,0.15100075375359,11
"5",-0.77455448455651,0.6,0.00512504935592761,0.0211211088074422,-0.663636363636364,0.0308508738328496,0.144964974803978,11
"5.9",-0.774555675959826,0.6,0.00512493701561384,0.0211211088074422,-0.527272727272727,0.100128813234869,0.207163061865247,11
"1.8",-0.770274584261321,0.593,0.00554045928762834,0.0211211088074422,-0.554545454545455,0.0815541216928155,0.188201819291113,11
"4.7",-0.763209197822436,0.582,0.00627970115701292,0.0211211088074422,-0.618181818181818,0.0478169053553035,0.15100075375359,11
"12",0.761110938416153,0.579,0.00651253417277533,0.0211211088074422,0.8,0.00520150247761827,0.078022537164274,11
"4.3",-0.755453777533257,0.571,0.00717180664729975,0.0211211088074422,-0.427272727272727,0.19262499772471,0.321041662874516,11
"4.5",-0.754850142763959,0.57,0.00724492672481689,0.0211211088074422,-0.372727272727273,0.260598370671166,0.400920570263332,11
"1.4",-0.754180703695913,0.569,0.00732665432524612,0.0211211088074422,-0.654545454545455,0.0338251607875948,0.144964974803978,11
"3.8",-0.750841665223653,0.564,0.00774440656272882,0.0211211088074422,-0.527272727272727,0.100128813234869,0.207163061865247,11
"4.1",-0.751128024463751,0.564,0.00770791336147116,0.0211211088074422,-0.472727272727273,0.145606226031775,0.281818501996984,11
"4A",-0.743721628004546,0.553,0.00869300118959787,0.0220024468611423,-0.445454545454545,0.172786506584626,0.304917364561104,11
"4B",-0.742947714093997,0.552,0.00880097874445693,0.0220024468611423,-0.445454545454545,0.172786506584626,0.304917364561104,11
"4.2",-0.731686087158965,0.535,0.0104851518318478,0.0251643643964348,-0.427272727272727,0.19262499772471,0.321041662874516,11
"9",0.723322873181857,0.523,0.0118789732995575,0.0266823917564908,0.745454545454545,0.0118658922903862,0.118658922903862,11
"1.2",-0.722590622554002,0.522,0.0120070762904208,0.0266823917564908,-0.7,0.0208123843500963,0.138353245254096,11
"2",-0.71992828846344,0.518,0.012481269756911,0.0267455780505235,-0.527272727272727,0.100128813234869,0.207163061865247,11
"3.5",-0.709044030508272,0.503,0.0145615127293946,0.0301272677159889,-0.618181818181818,0.0478169053553035,0.15100075375359,11
"2.5",-0.676308836616292,0.457,0.0223163436524125,0.0431929231982177,-0.4,0.225014088667236,0.355285403158793,11
"2.8",-0.676354150537903,0.457,0.0223039309907747,0.0431929231982177,-0.4,0.225014088667236,0.355285403158793,11
"1.3",-0.670270006234633,0.449,0.0240148664475851,0.045027874589222,-0.636363636363636,0.0403864039827663,0.15100075375359,11
"0.7",-0.62800147980755,0.394,0.0385511933779446,0.0690439103102377,-0.654545454545455,0.0338251607875948,0.144964974803978,11
"0.3",-0.626583287508036,0.393,0.0391248825091347,0.0690439103102377,-0.7,0.0208123843500963,0.138353245254096,11
"1.1",-0.614611563741018,0.378,0.0442059579127916,0.0757816421362142,-0.627272727272727,0.0439890872097469,0.15100075375359,11
"0.6A",-0.597185505437139,0.357,0.0523901951575448,0.0873169919292414,-0.290909090909091,0.386434553629285,0.493320706760789,11
"3",-0.550860363582042,0.303,0.0790476821939922,0.128185430584852,-0.463636363636364,0.154327160537791,0.289363426008358,11
"8",0.502481160935513,0.252,0.115208478710605,0.181908124279903,0.518181818181818,0.106918151178142,0.213836302356284,11
"0.5",-0.480129835295486,0.231,0.134999009192572,0.207690783373187,-0.563636363636364,0.0759390758518602,0.188201819291113,11
"7.7",0.460176611016406,0.212,0.154379170380223,0.228284831283975,0.290909090909091,0.386434553629285,0.493320706760789,11
"14",0.458585993544038,0.21,0.155994634710716,0.228284831283975,0.318181818181818,0.341354869770817,0.465483913323841,11
"13",0.445102511484961,0.198,0.17011078572187,0.2430154081741,0.318181818181818,0.341354869770817,0.465483913323841,11
"15",0.440436818614164,0.194,0.175171945920126,0.244425971051338,0.354545454545455,0.286102697970978,0.41868687507948,11
"1",-0.400631770041634,0.161,0.222070169778138,0.296499707392301,-0.554545454545455,0.0815541216928155,0.188201819291113,11
"0.6B",-0.400390509497188,0.16,0.222374780544226,0.296499707392301,-0.3,0.371067789395024,0.493320706760789,11
"16",0.351501657696125,0.124,0.289140238499201,0.377139441520697,0.354545454545455,0.286102697970978,0.41868687507948,11
"7",0.330998211952271,0.11,0.320088388862625,0.404544977253869,0.209090909090909,0.539113807034715,0.61031751739779,11
"7.3",0.328717819145787,0.108,0.323635981803095,0.404544977253869,0.172727272727273,0.614426013724972,0.682695570805525,11
"6.5",0.287710205980907,0.083,0.39094165456431,0.478704066813441,0.163636363636364,0.633869587610079,0.691494095574632,11
"17.5",-0.204038799636467,0.042,0.547318334747758,0.65678200169731,-0.145454545454545,0.673423202665486,0.721524859998735,11
"18.7",-0.194264859557013,0.038,0.567068329726399,0.667139211442823,-0.327272727272727,0.327015951002671,0.465483913323841,11
"0.4",0.164020430141518,0.027,0.629872246102509,0.726775668579818,0.0363636363636364,0.924426257832482,0.924426257832482,11
"6.7",0.151114979912271,0.023,0.657386723039671,0.744211384573212,0.1,0.775664871585324,0.802411936122749,11
"17",-0.127887613913131,0.016,0.707862950360455,0.778226105737116,-0.227272727272727,0.503066960517545,0.601094925665866,11
"19.2",-0.125382767992694,0.016,0.713373930259023,0.778226105737116,-0.254545454545455,0.451196804369117,0.55248588290096,11
"19.3",-0.104282061653402,0.011,0.760264825308823,0.810885285630601,-0.218181818181818,0.520948935577084,0.601094925665866,11
"18.5",-0.0937934126315798,0.009,0.783855776109581,0.810885285630601,-0.272727272727273,0.418166994020656,0.52270874252582,11
"19",-0.0956619804271833,0.009,0.77964046950098,0.810885285630601,-0.218181818181818,0.520948935577084,0.601094925665866,11
"18",-0.0539293321356833,0.003,0.874866324491431,0.889694567279421,-0.1,0.775664871585324,0.802411936122749,11
"19.5",0.0258904590174651,0.001,0.939768704712115,0.939768704712115,-0.0818181818181818,0.817650128521416,0.831508605276017,11
